slug,name,url,current_pathway,current_focus,current_liveliness,current_employees,linkedin_slug,issue,detail,edit_action,edit_url,edit_pathway,edit_focus,edit_liveliness,edit_notes
anew-climate,Anew Climate,https://www.anewclimate.com/,Afforestation,ecosystem,🟢 Active,229,blue-source,linkedin_slug_mismatch,LinkedIn slug 'blue-source' shares no tokens with company name,,,,,,
anthesis-bv,Anthesis B.V.,https://www.anthesisgroup.com/,Enabling Tech,review_needed,🟡 Moderate,901,anthesis-consulting-group,pathway_mismatch,description keywords suggest Ocean CDR (2 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
arbonics,Arbonics,https://www.arbonics.com/,Afforestation,supplier,🟢 Active,27,arbonics,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (1 hits),,,,,,
arbreen,Arbreen,https://arbreen.com/,Afforestation,supplier,🟠 Suspect,2,arbreen-llc,country_unknown,country not set,,,,,,
arrhenius,Arrhenius,https://arrhenius.com/,Biomass Burial,supplier,🟢 Active,7,arrhenius-ag,pathway_mismatch,description keywords suggest Biochar (2 hits) but pathway_primary=Biomass Burial (0 hits),,,,,,
assistance-publique-hôpitaux-de-paris,Assistance Publique – Hôpitaux de Paris,https://www.aphp.fr/,Enabling Tech,buyer_excluded,🟢 Active,38066,ap-hp,linkedin_slug_mismatch,LinkedIn slug 'ap-hp' shares no tokens with company name,,,,,,
bioflux,BioFlux,https://www.bioflux.earth/,Biochar,ecosystem,🟢 Active,6,bioflux-eu,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Biochar (2 hits),,,,,,
biochar-energy-sustainable-technologies,Biochar Energy Sustainable Technologies,https://www.biocharfarmer.com/,Biochar,supplier,🟡 Moderate,3,biocharfarmer,linkedin_slug_mismatch,LinkedIn slug 'biocharfarmer' shares no tokens with company name,,,,,,
biochar-production-and-carbon-removal-company,Biochar Production and Carbon Removal Company,https://capchar.com/,Biochar,supplier,🟢 Active,7,capchar,pathway_mismatch,description keywords suggest Enabling Tech (4 hits) but pathway_primary=Biochar (2 hits),,,,,,
biochar-production-and-carbon-removal-company,Biochar Production and Carbon Removal Company,https://capchar.com/,Biochar,supplier,🟢 Active,7,capchar,linkedin_slug_mismatch,LinkedIn slug 'capchar' shares no tokens with company name,,,,,,
blue-flint-ethanol,Blue Flint Ethanol,https://harvestonelcp.com/fccp-blue-flint-19634,BECCS,side_business,🟢 Active,42,harvestonelcp,linkedin_slug_mismatch,LinkedIn slug 'harvestonelcp' shares no tokens with company name,,,,,,
bluegreen,BlueGreen,https://bluegreenwatertech.com/,Ocean CDR,side_business,🟢 Active,41,bluegreen-water-tech,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Ocean CDR (0 hits),,,,,,
boomitra,Boomitra,https://boomitra.com/,Afforestation,supplier,🟢 Active,50,conserwater,linkedin_slug_mismatch,LinkedIn slug 'conserwater' shares no tokens with company name,,,,,,
bureau-of-economic-geology,Bureau of Economic Geology,https://www.beg.utexas.edu/,Enabling Tech,ecosystem,🟡 Moderate,26105,theuniversityoftexasataustin-,suspicious_big_followers,"ecosystem company with 800,900 LinkedIn followers — verify match",,,,,,
bureau-of-economic-geology,Bureau of Economic Geology,https://www.beg.utexas.edu/,Enabling Tech,ecosystem,🟡 Moderate,26105,theuniversityoftexasataustin-,linkedin_slug_mismatch,LinkedIn slug 'theuniversityoftexasataustin-' shares no tokens with company name,,,,,,
cdrterra,CDRterra,https://cdrterra.de/en/,Enabling Tech,ecosystem,🟡 Moderate,1,cdrterra,pathway_mismatch,description keywords suggest Afforestation (2 hits) but pathway_primary=Enabling Tech (0 hits),,,,,,
cormetech,CORMETECH,https://www.cormetech.com/,Enabling Tech,side_business,🟢 Active,,,pathway_mismatch,description keywords suggest DAC (2 hits) but pathway_primary=Enabling Tech (0 hits),,,,,,
crew-carbon,CREW Carbon,https://crewcarbon.com/,Enhanced Weathering,supplier,🟢 Active,20,crew-carbon,pathway_mismatch,description keywords suggest Ocean CDR (2 hits) but pathway_primary=Enhanced Weathering (1 hits),,,,,,
capital-link-green,Capital Link Green,https://www.capital.link/,Biochar,supplier,🟡 Moderate,,,country_unknown,country not set,,,,,,
carbix,Carbix,https://www.carbixcorp.com/,Mineralization,review_needed,🟡 Moderate,3,pivotal-aero,linkedin_slug_mismatch,LinkedIn slug 'pivotal-aero' shares no tokens with company name,,,,,,
carbon-capture-commercialization,Carbon Capture & Commercialization,https://ccandc.ai/,DAC,review_needed,🟢 Active,3,ccandc,linkedin_slug_mismatch,LinkedIn slug 'ccandc' shares no tokens with company name,,,,,,
carbon-collect,Carbon Collect,https://carboncollect.com/,DAC,supplier,🟢 Active,9,silicon-kingdom-holdings,linkedin_slug_mismatch,LinkedIn slug 'silicon-kingdom-holdings' shares no tokens with company name,,,,,,
carbon-removal-canada,Carbon Removal Canada,https://carbonremoval.ca/,Enabling Tech,ecosystem,🟢 Active,13,carbon-removal-canada,pathway_mismatch,description keywords suggest Ocean CDR (2 hits) but pathway_primary=Enabling Tech (0 hits),,,,,,
carbon-removal-india-alliance,Carbon Removal India Alliance,https://www.cria.earth/,Enabling Tech,ecosystem,🟡 Moderate,17,cria-earth,linkedin_slug_mismatch,LinkedIn slug 'cria-earth' shares no tokens with company name,,,,,,
carbon-sink,Carbon Sink,https://carbonsink.com/,Enhanced Weathering,review_needed,🟡 Moderate,,,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Enhanced Weathering (1 hits),,,,,,
carbon180,Carbon180,https://carbon180.org,Enabling Tech,ecosystem,🟡 Moderate,34,the-center-for-carbon-removal,linkedin_slug_mismatch,LinkedIn slug 'the-center-for-carbon-removal' shares no tokens with company name,,,,,,
carbonblue,CarbonBlue,https://carbonblue.cc/,Ocean CDR,supplier,🟢 Active,18,carbonblue-cc,pathway_mismatch,description keywords suggest Mineralization (2 hits) but pathway_primary=Ocean CDR (0 hits),,,,,,
carbonbuilt,CarbonBuilt,https://www.carbonbuilt.com/,Mineralization,review_needed,🟢 Active,22,co2concrete,linkedin_slug_mismatch,LinkedIn slug 'co2concrete' shares no tokens with company name,,,,,,
carbonconnect,CarbonConnect,https://www.carbonconnect.earth/,Biochar,supplier,🟢 Active,5,hempconnecthamburg,linkedin_slug_mismatch,LinkedIn slug 'hempconnecthamburg' shares no tokens with company name,,,,,,
carbonmeld,CarbonMeld,https://carbonmeld.com,Enabling Tech,ecosystem,🟡 Moderate,,,country_unknown,country not set,,,,,,
carbonrun,CarbonRun,https://www.carbonrun.io/,Enhanced Weathering,supplier,🟢 Active,23,carbonrun,pathway_mismatch,description keywords suggest Ocean CDR (2 hits) but pathway_primary=Enhanced Weathering (0 hits),,,,,,
carbone-farmers,Carbone Farmers,https://www.carbonefarmers.com/,Afforestation,supplier,🟢 Active,36,carbone-farmers,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Afforestation (0 hits),,,,,,
carbonified,Carbonified,https://www.carbonified.ca/,Biochar,supplier,🟡 Moderate,3,carbonified,pathway_mismatch,description keywords suggest Afforestation (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
carbonsate,Carbonsate,https://www.carbonsate.com/,Biomass Burial,supplier,🟢 Active,4,carbonsate,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biomass Burial (0 hits),,,,,,
cascade-climate,Cascade Climate,https://cascadeclimate.org/,Enhanced Weathering,ecosystem,🟢 Active,22,cascade-climate,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Enhanced Weathering (1 hits),,,,,,
centre-national-de-la-recherche-scientifique,Centre National de la Recherche Scientifique,https://www.cnrs.fr/en,Enabling Tech,buyer_excluded,🟡 Moderate,22623,cnrs,linkedin_slug_mismatch,LinkedIn slug 'cnrs' shares no tokens with company name,,,,,,
charm-industrial,Charm Industrial,https://charmindustrial.com/,Biomass Burial,supplier,🟢 Active,94,charm-industrial,pathway_mismatch,description keywords suggest Biochar (2 hits) but pathway_primary=Biomass Burial (1 hits),,,,,,
circonomy,Circonomy,https://www.circonomy.co/,Biochar,supplier,🟢 Active,5,circonomy,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
circular-carbon-pathways,Circular Carbon Pathways,https://ccp.africa/,Biochar,supplier,🟡 Moderate,2,ccpafrica,linkedin_slug_mismatch,LinkedIn slug 'ccpafrica' shares no tokens with company name,,,,,,
cleen-carbon,Cleen Carbon,https://in.linkedin.com/company/cleencarbon,Enhanced Weathering,review_needed,🟡 Moderate,,,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Enhanced Weathering (1 hits),,,,,,
commons,Commons,https://www.thecommons.earth/,Enabling Tech,buyer_excluded,🟡 Moderate,34,joroapp,linkedin_slug_mismatch,LinkedIn slug 'joroapp' shares no tokens with company name,,,,,,
demystifying-ocean-carbon-dioxide-removal,Demystifying Ocean Carbon Dioxide Removal,https://www.eesi.org/briefings/view/041624ocean,Ocean CDR,review_needed,🟡 Moderate,33,eesionline,linkedin_slug_mismatch,LinkedIn slug 'eesionline' shares no tokens with company name,,,,,,
dimarjan-llc,Dimarjan LLC,https://www.dimarjan.com/,Afforestation,supplier,🟢 Active,13,dimarjan-llc,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (0 hits),,,,,,
down-to-earth,Down to Earth,https://www.downcarbon.earth/,Biochar,supplier,🟢 Active,7,dte-carbonremoval,linkedin_slug_mismatch,LinkedIn slug 'dte-carbonremoval' shares no tokens with company name,,,,,,
ecm-environmental-commodities-marketplace,ECM | Environmental Commodities Marketplace,https://www.erguvan.co/,Enabling Tech,ecosystem,🟢 Active,62,erguvan,linkedin_slug_mismatch,LinkedIn slug 'erguvan' shares no tokens with company name,,,,,,
em-süd,EM-Süd,https://em-sued.de/,Biochar,review_needed,🟢 Active,,em-technologiezentrum-s%c3%bcd,linkedin_slug_mismatch,LinkedIn slug 'em-technologiezentrum-s%c3%bcd' shares no tokens with company name,,,,,,
earthly,Earthly,https://earthly.org,Afforestation,ecosystem,🟢 Active,35,projectearthly,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (1 hits),,,,,,
earthshot-labs,Earthshot Labs,https://www.earthshot.eco/,Afforestation,supplier,🟢 Active,36,earthshotlabs,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (1 hits),,,,,,
ecofix,EcoFix,https://www.efk.co.ke/,Biochar,side_business,🟢 Active,16,eco-fuels-kenya,linkedin_slug_mismatch,LinkedIn slug 'eco-fuels-kenya' shares no tokens with company name,,,,,,
ecologi-action-ltd,Ecologi Action Ltd,https://ecologi.com/,Enabling Tech,ecosystem,🟢 Active,109,offset-earth,linkedin_slug_mismatch,LinkedIn slug 'offset-earth' shares no tokens with company name,,,,,,
ecological-carbon-offset-partners,Ecological Carbon Offset Partners,https://www.epcarbon.com/,Biomass Burial,supplier,🟢 Active,19,ecopartners-carbon,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biomass Burial (0 hits),,,,,,
electratherm,ElectraTherm,https://electratherm.com/,Enabling Tech,buyer_excluded,🟡 Moderate,12,electratherm-inc,pathway_mismatch,description keywords suggest Biochar (2 hits) but pathway_primary=Enabling Tech (0 hits),,,,,,
emicap,Emicap,https://www.emicap.eu/,DAC,review_needed,🟡 Moderate,2,climate-care-solutions,linkedin_slug_mismatch,LinkedIn slug 'climate-care-solutions' shares no tokens with company name,,,,,,
enchar,Enchar,https://enchar.co/,Biochar,ecosystem,🟡 Moderate,3,enchar,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Biochar (1 hits),,,,,,
evero-energy,Evero Energy,https://evero.energy/,BECCS,side_business,🟢 Active,103,bioenergy-infrastructure-limited,linkedin_slug_mismatch,LinkedIn slug 'bioenergy-infrastructure-limited' shares no tokens with company name,,,,,,
evident,Evident,https://evident.global,Enabling Tech,ecosystem,🟡 Moderate,42,international-rec-services,linkedin_slug_mismatch,LinkedIn slug 'international-rec-services' shares no tokens with company name,,,,,,
explocom,Explocom,https://gekka.bio/,Biochar,supplier,🟢 Active,3,biogekka,linkedin_slug_mismatch,LinkedIn slug 'biogekka' shares no tokens with company name,,,,,,
exxon-mobil,Exxon Mobil,https://corporate.exxonmobil.com/,BECCS,review_needed,🟢 Active,68441,exxonmobil,pathway_mismatch,description keywords suggest DAC (2 hits) but pathway_primary=BECCS (1 hits),,,,,,
fcl-belle-plaine,FCL Belle Plaine,https://www.fcl.crs/our-business/ethanol,BECCS,buyer_excluded,🟢 Active,1846,coopfcl,linkedin_slug_mismatch,LinkedIn slug 'coopfcl' shares no tokens with company name,,,,,,
flatiron-institute,Flatiron Institute,https://www.simonsfoundation.org/flatiron/,Enabling Tech,buyer_excluded,🟢 Active,525,simons-foundation,linkedin_slug_mismatch,LinkedIn slug 'simons-foundation' shares no tokens with company name,,,,,,
forestir,Forestir,https://www.forestir.com/,Afforestation,review_needed,🟡 Moderate,,,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (0 hits),,,,,,
forests-and-societies,Forests and Societies,https://ur-forets-societes.cirad.fr/en,Afforestation,buyer_excluded,🟢 Active,2350,cirad,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Afforestation (0 hits),,,,,,
forests-and-societies,Forests and Societies,https://ur-forets-societes.cirad.fr/en,Afforestation,buyer_excluded,🟢 Active,2350,cirad,linkedin_slug_mismatch,LinkedIn slug 'cirad' shares no tokens with company name,,,,,,
förvaltnings-ab-helje,Förvaltnings AB Helje,https://essungaplantskola.se/,Biochar,side_business,🟢 Active,14,essunga-plantskola,linkedin_slug_mismatch,LinkedIn slug 'essunga-plantskola' shares no tokens with company name,,,,,,
ge-vernova,GE Vernova,https://www.gevernova.com/gas-power/future-of-energy/direct-air-capture,DAC,side_business,🟢 Active,6535,alstom-power,linkedin_slug_mismatch,LinkedIn slug 'alstom-power' shares no tokens with company name,,,,,,
gembloux-agro-bio-tech,Gembloux Agro-Bio Tech,https://www.gembloux.uliege.be/,Enabling Tech,buyer_excluded,🟡 Moderate,4815,university-of-liege,linkedin_slug_mismatch,LinkedIn slug 'university-of-liege' shares no tokens with company name,,,,,,
genome-institute-of-singapore,Genome Institute of Singapore,https://www.a-star.edu.sg/gis,Enabling Tech,buyer_excluded,🟡 Moderate,6397,a-star,linkedin_slug_mismatch,LinkedIn slug 'a-star' shares no tokens with company name,,,,,,
german-biochar-association,German Biochar Association,https://german-biochar.org/,Biochar,ecosystem,🟢 Active,7,fachverband-pflanzenkohle-e-v,linkedin_slug_mismatch,LinkedIn slug 'fachverband-pflanzenkohle-e-v' shares no tokens with company name,,,,,,
german-center-for-neurodegenerative-diseases,German Center for Neurodegenerative Diseases,https://www.dzne.de/en/,Enabling Tech,buyer_excluded,🟡 Moderate,810,dzne,linkedin_slug_mismatch,LinkedIn slug 'dzne' shares no tokens with company name,,,,,,
glas-future-limited,Glas Future Limited,https://glasfuture.com/,Enabling Tech,buyer_excluded,🟡 Moderate,2,nulla-carbon,linkedin_slug_mismatch,LinkedIn slug 'nulla-carbon' shares no tokens with company name,,,,,,
global-institute-for-water-security,Global Institute for Water Security,https://water.usask.ca/,Enabling Tech,buyer_excluded,🟡 Moderate,7075,university-of-saskatchewan,linkedin_slug_mismatch,LinkedIn slug 'university-of-saskatchewan' shares no tokens with company name,,,,,,
goddard-institute-for-space-studies,Goddard Institute for Space Studies,https://www.giss.nasa.gov/,Enabling Tech,buyer_excluded,🟡 Moderate,51388,nasa,linkedin_slug_mismatch,LinkedIn slug 'nasa' shares no tokens with company name,,,,,,
grain-ecosystem,Grain Ecosystem,https://grainecosystem.com/,Biochar,ecosystem,🟡 Moderate,10,grain-ecosystem,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
hempalta,HEMPALTA,https://www.hempalta.com/,Biochar,supplier,🟢 Active,5,hemp-alta,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
happy-ground,Happy Ground,https://happyground.org/,Biochar,supplier,🟢 Active,2,happy-ground,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
hemp-carbon-standard,Hemp Carbon Standard,https://hempcarbonstandard.org,Biochar,supplier,🟢 Active,1,hemp-carbon-standard,pathway_mismatch,description keywords suggest Enabling Tech (3 hits) but pathway_primary=Biochar (1 hits),,,,,,
hôpital-saint-louis,Hôpital Saint-Louis,https://hopital-saintlouis.aphp.fr/,Enabling Tech,buyer_excluded,🟢 Active,38066,ap-hp,linkedin_slug_mismatch,LinkedIn slug 'ap-hp' shares no tokens with company name,,,,,,
institute-for-responsible-carbon-removal,Institute for Responsible Carbon Removal,https://www.american.edu/sis/centers/carbon-removal/,Enabling Tech,ecosystem,🟡 Moderate,6186,american-university,suspicious_big_followers,"ecosystem company with 206,790 LinkedIn followers — verify match",,,,,,
institute-for-responsible-carbon-removal,Institute for Responsible Carbon Removal,https://www.american.edu/sis/centers/carbon-removal/,Enabling Tech,ecosystem,🟡 Moderate,6186,american-university,linkedin_slug_mismatch,LinkedIn slug 'american-university' shares no tokens with company name,,,,,,
institute-for-sustainability,Institute for Sustainability,https://www.rifs-potsdam.de/en,Enabling Tech,buyer_excluded,🟡 Moderate,149,iass-potsdam,linkedin_slug_mismatch,LinkedIn slug 'iass-potsdam' shares no tokens with company name,,,,,,
institute-of-agriculture-and-animal-science,Institute of Agriculture and Animal Science,https://iaas.tu.edu.np/,Enabling Tech,buyer_excluded,🟡 Moderate,1099,tribhuvan-university,linkedin_slug_mismatch,LinkedIn slug 'tribhuvan-university' shares no tokens with company name,,,,,,
institute-of-polymers,Institute of Polymers,https://polymer.bas.bg/en/,Enabling Tech,buyer_excluded,🟢 Active,617,bulgarian-academy-of-sciences,linkedin_slug_mismatch,LinkedIn slug 'bulgarian-academy-of-sciences' shares no tokens with company name,,,,,,
international-biochar-initiative,International Biochar Initiative,https://biochar-international.org/,Biochar,ecosystem,🟢 Active,16,international-biochar-initiative,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
international-institute-for-applied-systems-analysis,International Institute for Applied Systems Analysis,https://iiasa.ac.at/,Enabling Tech,review_needed,🟢 Active,478,iiasa-vienna,linkedin_slug_mismatch,LinkedIn slug 'iiasa-vienna' shares no tokens with company name,,,,,,
international-institute-of-tropical-agriculture,International Institute of Tropical Agriculture,https://www.iita.org/,Afforestation,buyer_excluded,🟢 Active,3625,iita,linkedin_slug_mismatch,LinkedIn slug 'iita' shares no tokens with company name,,,,,,
japan-cdr-coalition,Japan CDR Coalition,https://icf.mri.co.jp/j-cdr/,Enabling Tech,ecosystem,🟢 Active,506,mitsubishi-research-institute-inc,linkedin_slug_mismatch,LinkedIn slug 'mitsubishi-research-institute-inc' shares no tokens with company name,,,,,,
ji-hua-laboratory,Ji Hua Laboratory,http://www.jihualab.com/english/,Enabling Tech,buyer_excluded,🟡 Moderate,53,%e5%ad%a3%e5%8d%8e%e5%ae%9e%e9%aa%8c%e5%ae%a4,linkedin_slug_mismatch,LinkedIn slug '%e5%ad%a3%e5%8d%8e%e5%ae%9e%e9%aa%8c%e5%ae%a4' shares no tokens with company name,,,,,,
kalp-climate-tech,Kalp Climate Tech,https://www.krishecarbon.com/,Biochar,supplier,🟢 Active,12,krishe-carbon,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
kalp-climate-tech,Kalp Climate Tech,https://www.krishecarbon.com/,Biochar,supplier,🟢 Active,12,krishe-carbon,linkedin_slug_mismatch,LinkedIn slug 'krishe-carbon' shares no tokens with company name,,,,,,
kanadevia,Kanadevia,https://www.kanadevia.com/english/,BECCS,side_business,🟢 Active,517,hitachizosen,linkedin_slug_mismatch,LinkedIn slug 'hitachizosen' shares no tokens with company name,,,,,,
kepler-recapture,Kepler ReCapture,https://keplerrecapture.com/,Ocean CDR,division,🟠 Suspect,10,kepler-carbon-recapture,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Ocean CDR (1 hits),,,,,,
kinnevik,Kinnevik,https://www.kinnevik.com/,Enabling Tech,buyer_excluded,🟡 Moderate,63,investment-ab-kinnevik,pathway_mismatch,description keywords suggest Biomass Burial (2 hits) but pathway_primary=Enabling Tech (0 hits),,,,,,
laboratoire-de-chimie-des-polymères-organiques,Laboratoire de Chimie des Polymères Organiques,https://www.lcpo.fr/,Enabling Tech,buyer_excluded,🟡 Moderate,74,lcpo,linkedin_slug_mismatch,LinkedIn slug 'lcpo' shares no tokens with company name,,,,,,
lawrence-livermore-national-laboratory,Lawrence Livermore National Laboratory,https://carbon-economy.llnl.gov/,Enabling Tech,ecosystem,🟡 Moderate,9297,lawrence-livermore-national-laboratory,suspicious_big_followers,"ecosystem company with 154,226 LinkedIn followers — verify match",,,,,,
loam,Loam,https://www.loambio.com/,Afforestation,supplier,🟢 Active,77,soilcarbonco,linkedin_slug_mismatch,LinkedIn slug 'soilcarbonco' shares no tokens with company name,,,,,,
low-carbon-materials,Low Carbon Materials,https://www.lowcarbonmaterials.com/,Biochar,supplier,🟢 Active,20,spherauk,linkedin_slug_mismatch,LinkedIn slug 'spherauk' shares no tokens with company name,,,,,,
lowcarbon,LowCarbon,https://www.lowcarbon.co.kr/en/,DAC,supplier,🟢 Active,8,%eb%a1%9c%ec%9a%b0%ec%b9%b4%eb%b3%b8,linkedin_slug_mismatch,LinkedIn slug '%eb%a1%9c%ec%9a%b0%ec%b9%b4%eb%b3%b8' shares no tokens with company name,,,,,,
mrc-unit-the-gambia,MRC Unit the Gambia,https://www.lshtm.ac.uk/research/units/mrc-gambia,Enabling Tech,buyer_excluded,🟡 Moderate,2508,london-school-of-hygiene-%26-tropical-medicine-cp,linkedin_slug_mismatch,LinkedIn slug 'london-school-of-hygiene-%26-tropical-medicine-cp' shares no tokens with company name,,,,,,
macrocarbon,Macrocarbon,https://www.macrocarbon.world/,Ocean CDR,supplier,🟢 Active,7,macrocarbon,pathway_mismatch,description keywords suggest Biochar (2 hits) but pathway_primary=Ocean CDR (0 hits),,,,,,
marine-carbon-dioxide-removal-cdr,Marine Carbon Dioxide Removal (CDR),https://www.climateworks.org/,Ocean CDR,buyer_excluded,🟢 Active,242,climateworks,linkedin_slug_mismatch,LinkedIn slug 'climateworks' shares no tokens with company name,,,,,,
mast-reforestation,Mast Reforestation,https://www.mastreforest.com/,Biomass Burial,supplier,🟢 Active,43,droneseed,linkedin_slug_mismatch,LinkedIn slug 'droneseed' shares no tokens with company name,,,,,,
mercator-ocean-france,Mercator Ocean (France),https://www.mercator-ocean.eu/,Enabling Tech,buyer_excluded,🟢 Active,117,mercator-ocean,pathway_mismatch,description keywords suggest Ocean CDR (2 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
nawaro-energie-betrieb,NAWARO ENERGIE Betrieb,https://www.nawaro-energie.at,Biochar,side_business,🟢 Active,9,nawaro-energie,pathway_mismatch,description keywords suggest BECCS (2 hits) but pathway_primary=Biochar (1 hits),,,,,,
neg8-carbon,NEG8 Carbon,https://neg8carbon.com/,DAC,supplier,🟢 Active,11,trinity-green-energies,linkedin_slug_mismatch,LinkedIn slug 'trinity-green-energies' shares no tokens with company name,,,,,,
national-centre-for-earth-observation,National Centre for Earth Observation,https://www.nceo.ac.uk/,Enabling Tech,buyer_excluded,🟢 Active,27,nceo,linkedin_slug_mismatch,LinkedIn slug 'nceo' shares no tokens with company name,,,,,,
native-a-public-benefit-corporation,"Native, A public benefit corporation",https://native.eco/,Afforestation,review_needed,🟡 Moderate,25,nativeenergy-inc,linkedin_slug_mismatch,LinkedIn slug 'nativeenergy-inc' shares no tokens with company name,,,,,,
navarre-institute-of-health-research,Navarre Institute of Health Research,https://www.idisna.es/,Enabling Tech,buyer_excluded,🟢 Active,41,idisna,linkedin_slug_mismatch,LinkedIn slug 'idisna' shares no tokens with company name,,,,,,
niterra,Niterra,https://www.niterragroup.com/english/,Biochar,buyer_excluded,🟢 Active,329,ngk-spark-plug-europe-gmbh,linkedin_slug_mismatch,LinkedIn slug 'ngk-spark-plug-europe-gmbh' shares no tokens with company name,,,,,,
nordvästra-skånes-renhållnings,Nordvästra Skånes Renhållnings,https://nsr.se/,Biochar,side_business,🟢 Active,140,nsr-ab,linkedin_slug_mismatch,LinkedIn slug 'nsr-ab' shares no tokens with company name,,,,,,
north-star-ccs,North Star CCS,https://www.carbonalpha.com/northstar,BECCS,division,🟢 Active,10,carbon-alpha,linkedin_slug_mismatch,LinkedIn slug 'carbon-alpha' shares no tokens with company name,,,,,,
oceanid-mrv,Oceanid MRV,https://www.oceanidmrv.com/,Enabling Tech,ecosystem,🟡 Moderate,,,pathway_mismatch,description keywords suggest Ocean CDR (4 hits) but pathway_primary=Enabling Tech (1 hits),,,,,,
ocell,Ocell,https://www.ocell.io/,Afforestation,supplier,🟢 Active,50,ocell-aero,pathway_mismatch,description keywords suggest Enabling Tech (2 hits) but pathway_primary=Afforestation (0 hits),,,,,,
